"","X","Player","Pos","Height","Weight","Age","Age21"
"1",1,"Nate Robinson","G",69,180,29,">21"
"2",2,"Isaiah Thomas","G",69,185,24,">21"
"3",3,"Phil Pressey","G",71,175,22,">21"
"4",4,"Shane Larkin","G",71,176,20,"<=21"
"5",5,"Ty Lawson","G",71,195,25,">21"
"6",6,"John Lucas III","G",71,157,30,">21"
"7",7,"D.J. Augustin","G",72,180,25,">21"
"8",8,"Kyle Lowry","G",72,205,27,">21"
"9",9,"Sebastian Telfair","G",72,175,28,">21"
"10",10,"Will Bynum","G",72,185,30,">21"
"11",11,"Jameer Nelson","G",72,190,31,">21"
"12",12,"Mickey McConnell","G",72,189,24,">21"
"13",13,"Aaron Brooks","G",72,161,28,">21"
"14",14,"Isaiah Canaan","G",72,198,22,">21"
"15",15,"Patty Mills","G",72,185,25,">21"
"16",16,"J.J. Barea","G",72,175,29,">21"
"17",17,"Darren Collison","G",72,160,26,">21"
"18",18,"Chris Paul","G",72,175,28,">21"
"19",19,"Ish Smith","G",72,175,25,">21"
"20",20,"Rajon Rondo","G",73,171,27,">21"
"21",21,"Raymond Felton","G",73,205,29,">21"
"22",22,"Brandon Jennings","G",73,169,23,">21"
"23",23,"Peyton Siva","G",73,181,22,">21"
"24",24,"Lou Williams","G",73,175,26,">21"
"25",25,"Jannero Pargo","G",73,185,33,">21"
"26",26,"Kemba Walker","G",73,172,23,">21"
"27",27,"Patrick Beverley","G",73,180,25,">21"
"28",28,"Mike Conley","G",73,185,25,">21"
"29",29,"Brian Roberts","G",73,180,27,">21"
"30",30,"Derek Fisher","G",73,210,39,">21"
"31",31,"Earl Watson","G",73,195,34,">21"
"32",32,"Mo Williams","G",73,195,30,">21"
"33",33,"Trey Burke","G",73,185,20,"<=21"
"34",34,"Maalik Wayns","G",73,195,22,">21"
"35",35,"Eric Bledsoe","G",73,195,23,">21"
"36",36,"Avery Bradley","G",74,180,22,">21"
"37",37,"Jason Terry","G",74,180,36,">21"
"38",38,"Chris Smith","G",74,195,25,">21"
"39",39,"Marquis Teague","G",74,189,20,"<=21"
"40",40,"Daniel Gibson","G",74,200,27,">21"
"41",41,"George Hill","G",74,180,27,">21"
"42",42,"C.J. Watson","G",74,175,29,">21"
"43",43,"Luke Ridnour","G",74,175,32,">21"
"44",44,"Jeff Teague","G",74,181,25,">21"
"45",45,"Dennis Schroeder","G",74,168,20,"<=21"
"46",46,"Mario Chalmers","G",74,190,27,">21"
"47",47,"Norris Cole","G",74,170,24,">21"
"48",48,"Ronnie Price","G",74,187,30,">21"
"49",49,"Tony Parker","G",74,180,31,">21"
"50",50,"Andre Miller","G",74,200,37,">21"
"51",51,"Dee Bost","G",74,170,23,">21"
"52",52,"Nolan Smith","G",74,185,25,">21"
"53",53,"Toney Douglas","G",74,185,27,">21"
"54",54,"Seth Curry","G",74,185,23,">21"
"55",55,"Jordan Farmar","G",74,180,26,">21"
"56",56,"Jimmer Fredette","G",74,195,24,">21"
"57",57,"Deron Williams","G",75,209,29,">21"
"58",58,"Tyshawn Taylor","G",75,185,23,">21"
"59",59,"Beno Udrih","G",75,205,31,">21"
"60",60,"Pablo Prigioni","G",75,180,36,">21"
"61",61,"Charles Jenkins","G",75,220,24,">21"
"62",62,"Dwight Buycks","G",75,190,24,">21"
"63",63,"Derrick Rose","G",75,190,24,">21"
"64",64,"Jarrett Jack","G",75,197,29,">21"
"65",65,"Kyrie Irving","G",75,191,21,"<=21"
"66",66,"Chauncey Billups","G",75,202,36,">21"
"67",67,"Donald Sloan","G",75,205,25,">21"
"68",68,"Ben Hansbrough","G",75,203,25,">21"
"69",69,"Brandon Knight","G",75,189,21,"<=21"
"70",70,"Shelvin Mack","G",75,215,24,">21"
"71",71,"Ramon Sessions","G",75,190,27,">21"
"72",72,"Ben Gordon","G",75,200,30,">21"
"73",73,"Eric Maynor","G",75,175,26,">21"
"74",74,"Jose Calderon","G",75,211,31,">21"
"75",75,"Monta Ellis","G",75,185,27,">21"
"76",76,"Devin Harris","G",75,190,30,">21"
"77",77,"Jeremy Lin","G",75,200,25,">21"
"78",78,"B.J. Young","G",75,180,20,"<=21"
"79",79,"Jerryd Bayless","G",75,200,25,">21"
"80",80,"Keyon Dooling","G",75,195,33,">21"
"81",81,"Eric Gordon","G",75,215,24,">21"
"82",82,"Cory Joseph","G",75,185,21,"<=21"
"83",83,"Erick Green","G",75,185,22,">21"
"84",84,"Russell Westbrook","G",75,187,24,">21"
"85",85,"Reggie Jackson","G",75,208,23,">21"
"86",86,"Damian Lillard","G",75,195,23,">21"
"87",87,"C.J. McCollum","G",75,197,22,">21"
"88",88,"Ian Clark","G",75,175,22,">21"
"89",89,"Jamaal Tinsley","G",75,185,35,">21"
"90",90,"Jerel McNeal","G",75,196,26,">21"
